16	6	9
14	17	4
12	11	1
10	17	5
7	12	5
19	4	3
1	17	10
18	19	5
16	12	7
2	5	9
11	5	7
18	16	8
7	6	4
19	14	5
10	18	6
17	2	9
13	7	10
20	9	8
18	9	1
20	4	6
18	20	4
4	10	7
3	2	4
2	6	4
9	14	5
7	10	1
10	13	5
9	3	6
7	5	10
20	19	5
19	13	1
17	13	2
15	14	8
13	10	8
20	14	2
2	17	1
17	18	6
1	12	4
8	12	10
4	15	5
19	10	2
5	14	1
19	16	8
10	14	1
8	18	3
6	13	7
11	15	5
9	19	7
14	8	7
12	8	5
19	8	4
17	8	6
16	8	6
20	3	7
3	11	1
2	1	8
1	15	1
2	12	8
7	11	2
5	1	5
7	2	3
12	2	1
19	18	3
7	15	2
14	5	7
18	5	10
17	11	7
13	16	4
1	5	1
8	6	1
9	7	6
15	12	8
5	4	6
11	4	9
9	20	9
14	19	5
5	17	9
12	7	5
11	9	2
17	1	10
7	18	4
18	6	3
15	10	7
13	19	5
20	5	4
3	5	5
2	7	5
9	13	10
8	3	6
5	10	1
11	3	8
16	1	2
6	20	6
1	19	10
10	20	1
15	9	5
14	3	4
13	9	8
20	16	9
18	11	8
3	15	6
9	8	10
10	15	4
6	2	4
11	14	2
6	12	3
16	14	9
14	9	9
12	9	8
18	1	5
17	15	4
7	20	5
12	20	2
18	12	1
11	12	3
3	10	2
1	14	2
8	10	7
4	13	2
2	13	2
9	11	9
3	16	3
12	17	10
8	16	1
14	11	3
7	14	5
17	10	3
13	15	7
2	20	9
19	9	2
2	3	4
20	12	2
6	5	10
5	3	8
11	7	8
10	5	9
14	16	6
11	8	8
7	13	9
1	18	6
13	18	4
20	6	10
7	9	8
1	7	7
3	4	6
5	9	4
4	7	10
10	11	10
9	1	1
11	2	7
10	6	7
16	2	5
14	13	1
12	5	2
19	15	10
17	3	3
3	14	6
8	2	5
8	14	5
4	9	7
5	12	6
8	20	8
11	1	10
9	17	2
16	15	4
12	10	3
11	18	8
20	13	9
18	13	8
17	19	5
3	13	4
16	20	7
16	11	8
4	14	5
2	10	7
9	10	10
5	15	10
3	19	5
10	1	8
14	20	10
19	20	8
15	17	3
6	19	2
11	17	1
15	2	8
2	15	2
9	5	3
5	2	2
11	6	1
10	2	8
